restaurant_id,Title,Reviews,Rating,Price,Revenue,Cuisine,Cuisine_countries,Cuisine_countries_0,Cuisine_countries_1,Cuisine_countries_2,Cuisine_countries_3,Cuisine_auxes,lat,lng,restaurants_count,Population,Pricexm2
82,Angus and More,379,4.5,14,379,"Fast Food, American, Barbecue",1E+077,1E+023,0,0,0,1.00000001E+020,45.45934,9.20659,55,15364,5050
83,Kungfu Bao,226,4.5,29,226,"Chinese, Asian",1.00000000000001E+073,1.00000000000001E+019,0,0,0,0,45.48994,9.21764,70,44572,2800
84,Ciaccia Coi Ciccioli,422,4.5,18,422,"Deli, Wine Bar, Mediterranean",1E+031,0,100,0,0,1000000000000001,45.45549,9.16424,56,15228,4550
85,Mamajuana Restaurant,423,4.5,17.5,423,"Caribbean, Latin, South American, Colombian, Central American",1.00100001E+066,1001000010000,10000000,1000000000,0,0,45.44807,9.19768,60,16739,3100
86,Porcobrado Milano,133,4.5,,133,"Italian, Tuscan, Central-Italian, Street Food",1E+060,1000000,100000000000,1,10000,100,45.48745,9.18815,88,22859,3200
87,Al Paradiso della Pizza,542,4.5,,542,"Italian, Pizza",1E+040,0,100000000000,0,0,10000000,45.5114,9.17556,19,25305,2000
88,Bomaki Foppa,,4,,239.715384615385,"Japanese, Brazilian, Seafood, Sushi, Asian",1.0001E+073,1.0001E+019,10000000000,0,0,100010,45.47818,9.18426,114,18492,6250
89,ITAshi,262,4.5,21,262,Italian,1E+040,0,100000000000,0,0,0,45.45189,9.20478,60,16739,3100
90,Yang Sushi & Fusion,667,4.5,28,667,"Japanese, Seafood, Sushi, Asian, Fusion",1E+073,1E+019,1.00000001E+018,0,0,100010,45.48555,9.19762,57,5863,4150
93,Noblesse Oblige,,4.5,,169.613636363636,"Italian, Seafood, Mediterranean, European, Lombard, Northern-Italian",1.00000000001E+051,0,1.00000000001E+022,1E+021,0,100000,45.48396,9.20999,193,62347,4750
94,Ristorante Yuebin (Yuebinlou),254,4.5,,254,"Chinese, Seafood, Asian",1.00000000000001E+073,1.00000000000001E+019,0,0,0,100000,45.48133,9.17441,91,30985,3850
95,Osteria Mamma Rosa,,4.5,45,169.613636363636,"Italian, Lombard",1.00000001E+040,0,100000001000,0,0,0,45.47974,9.20441,193,62347,4750
96,Bomaki Sempione,,4,33,239.715384615385,"Japanese, Brazilian, Seafood, Sushi, Asian, Healthy",1.0001E+073,1.0001E+019,10000000000,0,0,1000100010,45.4775,9.17041,91,30985,3850
97,Norin Caffe Bistro,374,4.5,24,374,"Italian, Pizza, Cafe, Mediterranean, European",1.00000000001E+051,0,1.00000000001E+022,0,0,1.0000000001E+017,45.48514,9.19876,57,5863,4150
98,Oren,468,4.5,30,468,"Chinese, Seafood, Sushi, Asian, Fusion",1.00000000000001E+073,1.00000000000001E+019,1E+018,0,0,100010,45.47712,9.15169,12,2322,1500
99,Sciura Maria Panzerotti,472,4.5,4,472,"Italian, Fast Food, Mediterranean, European, Deli, Healthy, Street Food",1.00000000001E+051,0,1.00000000001E+022,0,0,1001001000000100,45.51561,9.22577,26,29523,1950
100,Amalfitana,407,4.5,,407,Italian,1E+040,0,100000000000,0,0,0,45.48164,9.21959,193,62347,4750
101,Platina,,4.5,23,169.613636363636,"Italian, Mediterranean, European",1.00000000001E+051,0,1.00000000001E+022,0,0,0,45.47818,9.20554,193,62347,4750
102,StrEat,125,4.5,15.5,125,"American, Brew Pub, Barbecue, Grill, Bar",1E+077,1E+023,0,0,0,1.10100000001E+021,45.46698,9.14474,43,44222,2150
103,Ambaradan,394,4.5,,394,"Pizza, Italian, Mediterranean, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100000000100,1E+023,0,10000000,45.48487,9.16473,91,30985,3850
104,San Mina,423,4,32.5,423,"Italian, Pizza, Seafood, Mediterranean",1.000000001E+040,0,100000000100,0,0,10100000,45.49218,9.20626,90,18831,3200
